pair_id,name_a,name_b,label,pair_type,route,baseline_score,llm_same,llm_confidence,final_pred,source
p0001,LVMH Moët Hennessy Louis Vuitton,Moet Hennessy Louis Vuitton,1,positive,llm,0.9363,1,,1,reused
p0002,"NIKE, Inc.",NKE,1,positive,llm,0.8500,1,,1,reused
p0003,Bank of America Corporation,Bank of America,1,positive,auto_accept,0.9719,,,1,
p0004,ASML Holding,"Netflix, Inc.",0,easy_negative,auto_reject,0.0000,,,0,
p0005,AT&T Inc.,A T & T,1,positive,llm,0.7761,1,,1,reused
p0006,Delta Air Lines,"Delta Electronics, Inc.",0,hard_negative,llm,0.6251,0,,0,reused
p0007,Credit Suisse,"First Solar, Inc.",0,easy_negative,auto_reject,0.0000,,,0,
p0008,American International Group,AIG,1,positive,llm,0.7237,1,,1,reused
p0009,ExxonMobil,Exxon,1,positive,llm,0.9294,1,,1,reused
p0010,General Electric Company,Lincoln Electric,0,hard_negative,llm,0.4787,0,,0,reused
p0011,United Airlines,UAL,1,positive,llm,0.5549,1,,1,reused
p0012,American Express Company,American Electric Power,0,hard_negative,llm,0.4405,0,,0,reused
p0013,A.P. Moller-Maersk A/S,AP Moller Maersk,1,positive,llm,0.7938,1,,1,reused
p0014,Deutsche Bank AG,Deutsche Telekom,0,hard_negative,llm,0.5484,0,,0,reused
p0015,General Motors,General Electric Company,0,hard_negative,llm,0.5509,0,,0,reused
p0016,HSBC Holdings plc,Hongkong and Shanghai Banking Corporation,1,positive,llm,0.7587,0,,0,reused
p0017,American Airlines,AAL,1,positive,llm,0.6482,1,,1,reused
p0018,"Advanced Micro Devices, Inc.",AMD,1,positive,llm,0.9200,1,,1,reused
p0019,"Cisco Systems, Inc.",Cisco Systems,1,positive,auto_accept,0.9902,,,1,
p0020,"Merck & Co., Inc.",Merck Sharp & Dohme,1,positive,llm,0.7299,1,,1,reused
p0021,Bank of Montreal,Royal Bank,0,hard_negative,llm,0.4667,0,,0,reused
p0022,3M Company,I.B.M.,0,easy_negative,llm,0.1942,0,0.99,0,new
p0023,Johnson and Johnson,Johnson Controls,0,hard_negative,llm,0.7983,0,,0,reused
p0024,Bank of China Limited,中国银行,1,positive,llm,0.9160,1,,1,reused
p0025,Hewlett Packard,Tata Consultancy Services Limited,0,easy_negative,auto_reject,0.0973,,,0,
p0026,"Amazon.com, Inc.",AMZN,1,positive,llm,0.8500,1,,1,reused
p0027,Amazon.com,Citigroup,0,easy_negative,auto_reject,0.0102,,,0,
p0028,Merck Group,First Solar,0,easy_negative,auto_reject,0.0000,,,0,
p0029,Chevron,Deutsche Telekom AG,0,easy_negative,auto_reject,0.0597,,,0,
p0030,JPMorgan Chase,Cisco Systems,0,easy_negative,auto_reject,0.0000,,,0,
p0031,General Motors Company,"Tesla Motors, Inc.",0,hard_negative,llm,0.4586,0,,0,reused
p0032,Citi,C,1,positive,llm,0.4435,1,0.85,1,new
p0033,Stellantis N.V.,Fiat Chrysler Automobiles,1,positive,llm,0.5451,0,,0,reused
p0034,Royal Bank of Scotland Group,RBS,1,positive,llm,0.9200,1,,1,reused
p0035,"Netflix, Inc.",NFLX,1,positive,llm,0.8500,1,,1,reused
